code,name,category
AP,Andhra Pradesh,state
AR,Arunachal Pradesh,state
AS,Assam,state
BR,Bihar,state
CG,Chhattisgarh,state
GA,Goa,state
GJ,Gujarat,state
HR,Haryana,state
HP,Himachal Pradesh,state
JK,Jammu and Kashmir,state
JH,Jharkhand,state
KA,Karnataka,state
KL,Kerala,state
MP,Madhya Pradesh,state
MH,Maharashtra,state
MN,Manipur,state
ML,Meghalaya,state
MZ,Mizoram,state
NL,Nagaland,state
OR,Orissa,state
PB,Punjab,state
RJ,Rajasthan,state
SK,Sikkim,state
TN,Tamil Nadu,state
TS,Telangana,state
TR,Tripura,state
UK,Uttarakhand,state
UP,Uttar Pradesh,state
WB,West Bengal,state
AN,Andaman and Nicobar Islands,Union territory
CH,Chandigarh,Union territory
DH,Dadra and Nagar Haveli,Union territory
DD,Daman and Diu,Union territory
DL,Delhi,Union territory
LD,Lakshadweep,Union territory
PY,Puducherry,Union territory
